latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-1.04458,135.90845,311.42,1,1,2026-08-19,633,Aqua,MODIS,31,6.1NRT,296.4,4.7,D
-1.18384,136.13867,318.26,1.87,1.34,2026-08-21,612,Aqua,MODIS,0,6.1NRT,301.03,23.92,D
-1.0904,136.06975,312.57,1.89,1.34,2026-08-21,612,Aqua,MODIS,68,6.1NRT,299.61,16.62,D
-1.0318,135.91919,311.35,1.94,1.36,2026-08-21,612,Aqua,MODIS,36,6.1NRT,299.81,13.06,D
-1.18533,136.12973,341.46,1.52,1.22,2026-08-22,648,Aqua,MODIS,0,6.1NRT,305.28,70.08,D
-1.18334,136.14291,339.95,1.53,1.22,2026-08-22,648,Aqua,MODIS,0,6.1NRT,303.91,66.69,D
-1.12966,136.03534,327.49,1.5,1.21,2026-08-22,648,Aqua,MODIS,66,6.1NRT,302.82,35.31,D
-1.12773,136.04832,312.33,1.5,1.21,2026-08-22,648,Aqua,MODIS,38,6.1NRT,300.42,7.74,D
-1.10503,135.91322,313.17,1.47,1.2,2026-08-22,648,Aqua,MODIS,56,6.1NRT,301.92,9.6,D
-0.98239,134.88847,313.81,1.26,1.12,2026-08-22,648,Aqua,MODIS,71,6.1NRT,299.91,9.79,D
