latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.17811,136.15257,349.99,0.43,0.38,2023-11-20,411,N20,VIIRS,n,2,302.12,9.33,D,0
-1.13856,136.13081,339.84,0.43,0.38,2023-11-20,411,N20,VIIRS,n,2,299.5,8.22,D,0
-1.13554,136.03131,343,0.44,0.38,2023-11-20,411,N20,VIIRS,n,2,302.5,21.73,D,0
-1.13496,136.03522,351.38,0.44,0.38,2023-11-20,411,N20,VIIRS,n,2,308.18,21.73,D,0
-1.13438,136.03911,347.66,0.44,0.38,2023-11-20,411,N20,VIIRS,n,2,303.04,12.05,D,0
-1.13203,136.03078,367,0.44,0.38,2023-11-20,411,N20,VIIRS,h,2,306.9,21.73,D,0
-1.13146,136.03468,352.89,0.44,0.38,2023-11-20,411,N20,VIIRS,n,2,304.19,21.73,D,0
-1.13088,136.03857,348.88,0.44,0.38,2023-11-20,411,N20,VIIRS,n,2,302.68,12.05,D,0
-1.12737,136.03802,334.1,0.44,0.38,2023-11-20,411,N20,VIIRS,n,2,301.04,4.36,D,0
-1.0333,135.94073,330.78,0.44,0.38,2023-11-20,411,N20,VIIRS,n,2,297.55,3.92,D,0
-1.03285,135.94029,332.15,0.44,0.38,2023-11-20,411,N20,VIIRS,n,2,297.68,4.26,D,0
-1.18263,136.1494,331.03,0.55,0.51,2023-11-21,352,N20,VIIRS,n,2,294.32,3.04,D,0
-1.17796,136.14867,341.95,0.55,0.51,2023-11-21,352,N20,VIIRS,n,2,293.67,8.41,D,0
-1.17722,136.15355,350.77,0.55,0.51,2023-11-21,352,N20,VIIRS,n,2,295.38,15.59,D,0
-1.17402,136.14304,343.92,0.55,0.51,2023-11-21,352,N20,VIIRS,n,2,292.43,8.41,D,0
-1.04073,135.95842,326.94,0.57,0.52,2023-11-21,352,N20,VIIRS,n,2,288.75,3.62,D,0
-1.03937,135.95959,327.89,0.57,0.52,2023-11-21,352,N20,VIIRS,n,2,289.07,4.44,D,0
