latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-1.18608,136.13657,328.22,0.44,0.62,2026-08-23,351,N,VIIRS,l,2.0NRT,302.49,3.19,D
-1.18457,136.14844,330.68,0.44,0.62,2026-08-23,351,N,VIIRS,l,2.0NRT,302.41,4.43,D
-1.18423,136.14842,330.35,0.44,0.62,2026-08-23,351,N,VIIRS,l,2.0NRT,302.51,4.92,D
-1.18399,136.15237,336.26,0.44,0.62,2026-08-23,351,N,VIIRS,n,2.0NRT,301.86,5.37,D
-1.18361,136.15233,336.94,0.44,0.62,2026-08-23,351,N,VIIRS,n,2.0NRT,301.42,5.3,D
-1.17317,136.1051,329.03,0.44,0.63,2026-08-23,351,N,VIIRS,n,2.0NRT,300.7,2.3,D
-1.15397,136.22871,332.93,0.44,0.62,2026-08-23,351,N,VIIRS,n,2.0NRT,302.07,7.29,D
-1.15335,136.23268,367,0.43,0.62,2026-08-23,351,N,VIIRS,h,2.0NRT,305.06,7.29,D
-1.17856,136.15582,346.95,0.45,0.63,2026-08-24,514,N,VIIRS,n,2.0NRT,299.75,6.58,D
-1.17535,136.13861,331.07,0.44,0.63,2026-08-24,514,N,VIIRS,n,2.0NRT,300.81,4.27,D
-1.1549,136.22891,332.65,0.45,0.63,2026-08-24,514,N,VIIRS,n,2.0NRT,299.32,6.6,D
-1.15356,136.23723,330.01,0.45,0.63,2026-08-24,514,N,VIIRS,n,2.0NRT,299.88,6.43,D
-1.12062,136.07196,332.44,0.44,0.62,2026-08-24,514,N,VIIRS,n,2.0NRT,298.28,3.52,D
-1.1206,136.07239,330.16,0.44,0.62,2026-08-24,514,N,VIIRS,n,2.0NRT,298.24,3.79,D
-1.05708,134.83261,332.21,0.36,0.58,2026-08-24,514,N,VIIRS,n,2.0NRT,294.77,2.09,D
-1.02821,134.80775,328.17,0.36,0.58,2026-08-24,514,N,VIIRS,n,2.0NRT,295.24,2.96,D
-1.15432,136.22992,331.65,0.43,0.46,2026-08-25,453,N,VIIRS,n,2.0NRT,300.28,6.6,D
-1.1531,136.23772,340.86,0.43,0.46,2026-08-25,453,N,VIIRS,n,2.0NRT,301.03,7.57,D
-1.15249,136.24159,341.4,0.43,0.46,2026-08-25,453,N,VIIRS,n,2.0NRT,299.63,7.17,D
-1.13278,135.89882,330.33,0.41,0.45,2026-08-25,453,N,VIIRS,n,2.0NRT,298.89,2.64,D
-1.13224,136.04065,336.61,0.42,0.45,2026-08-25,453,N,VIIRS,n,2.0NRT,299.11,4.43,D
-1.12504,136.03183,331.57,0.42,0.45,2026-08-25,453,N,VIIRS,n,2.0NRT,299.79,5.28,D
