latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-1.14631,136.13455,329.47,0.34,0.56,2023-11-15,456,N,VIIRS,n,2,290.91,1.3,D,0
-1.14323,136.03471,307.43,0.45,0.47,2023-11-15,1556,N,VIIRS,n,2,291.19,1.23,N,0
-1.18233,136.08601,345.82,0.5,0.41,2023-11-16,437,N,VIIRS,n,2,303.56,9.43,D,0
-1.17633,136.14972,333.11,0.51,0.41,2023-11-16,437,N,VIIRS,n,2,303.49,8.96,D,0
-1.17562,136.15428,331.39,0.51,0.41,2023-11-16,437,N,VIIRS,n,2,301.86,8.3,D,0
-1.17137,136.18179,335.42,0.51,0.41,2023-11-16,437,N,VIIRS,n,2,302.17,3.73,D,0
-1.16378,136.18069,336.15,0.51,0.41,2023-11-16,437,N,VIIRS,n,2,304.29,6.95,D,0
-1.15425,136.21698,344.07,0.51,0.41,2023-11-16,437,N,VIIRS,n,2,303.51,4.58,D,0
-1.14789,136.18301,338.12,0.51,0.41,2023-11-16,437,N,VIIRS,n,2,302.79,6.77,D,0
-1.14306,136.23889,330.32,0.51,0.41,2023-11-16,437,N,VIIRS,n,2,302.11,3.04,D,0
-1.13955,136.0903,329.45,0.5,0.41,2023-11-16,437,N,VIIRS,n,2,302.4,2.63,D,0
-1.12825,136.03766,330.2,0.5,0.41,2023-11-16,437,N,VIIRS,n,2,302.11,8.53,D,0
-1.12757,136.04213,333.37,0.5,0.41,2023-11-16,437,N,VIIRS,n,2,302.12,8.53,D,0
-1.07949,135.85718,331.86,0.49,0.4,2023-11-16,437,N,VIIRS,n,2,300.83,5.55,D,0
-1.0788,135.86159,334.52,0.49,0.4,2023-11-16,437,N,VIIRS,n,2,301.72,5.55,D,0
-1.07791,135.858,346.25,0.49,0.4,2023-11-16,437,N,VIIRS,n,2,300.73,11.58,D,0
-0.79937,135.91028,332.27,0.39,0.36,2023-11-17,418,N,VIIRS,n,2,297.71,4.11,D,0
-1.13066,136.03429,346.84,0.46,0.63,2023-11-19,340,N,VIIRS,n,2,291.91,7.7,D,0
-1.13002,136.03847,330.61,0.46,0.63,2023-11-19,340,N,VIIRS,n,2,291.89,7.58,D,0
