station,valid,vsby,wxcodes,drct,sknt,metar
WABB,2023-09-01 00:00,6.21,M,0.00,0.00,WABB 010000Z 00000KT 9999 SCT018 30/26 Q1011 NOSIG
WABB,2023-09-01 00:30,6.21,M,M,2.00,WABB 010030Z VRB02KT 9999 SCT018 30/26 Q1011 NOSIG
WABB,2023-09-01 01:00,6.21,M,0.00,0.00,WABB 010100Z 00000KT 9999 SCT018 30/25 Q1011 NOSIG
WABB,2023-09-01 01:30,6.21,M,140.00,6.00,WABB 010130Z 14006KT 9999 SCT018 30/25 Q1011 NOSIG
WABB,2023-09-01 02:00,6.21,M,M,2.00,WABB 010200Z VRB02KT 9999 SCT018 30/26 Q1010 NOSIG
WABB,2023-09-01 02:30,6.21,M,M,2.00,WABB 010230Z VRB02KT 9999 SCT018 30/25 Q1010 NOSIG
WABB,2023-09-01 03:00,6.21,M,150.00,4.00,WABB 010300Z 15004KT 110V170 9999 SCT018 30/25 Q1009 NOSIG
WABB,2023-09-01 03:30,6.21,M,140.00,6.00,WABB 010330Z 14006KT 9999 SCT018 31/26 Q1009 NOSIG
WABB,2023-09-01 04:00,6.21,M,130.00,5.00,WABB 010400Z 13005KT 120V180 9999 SCT018 30/25 Q1008 NOSIG
WABB,2023-09-01 04:30,6.21,M,140.00,5.00,WABB 010430Z 14005KT 9999 SCT018 30/26 Q1008 NOSIG
WABB,2023-09-01 05:00,6.21,M,160.00,3.00,WABB 010500Z 16003KT 120V180 9999 SCT018 30/25 Q1008 NOSIG
WABB,2023-09-01 05:30,6.21,VCSH,M,2.00,WABB 010530Z VRB02KT 9999 VCSH SCT018 31/26 Q1008 NOSIG
WABB,2023-09-01 06:00,6.21,VCSH,M,2.00,WABB 010600Z VRB02KT 9999 VCSH SCT018 30/25 Q1007 NOSIG
WABB,2023-09-01 06:30,6.21,M,320.00,6.00,WABB 010630Z 32006KT 150V320 9999 SCT018 28/25 Q1007 NOSIG
WABB,2023-09-01 07:00,6.21,M,210.00,3.00,WABB 010700Z 21003KT 030V210 9999 SCT018 30/24 Q1007 NOSIG
WABB,2023-09-01 07:30,6.21,M,200.00,4.00,WABB 010730Z 20004KT 020V200 9999 SCT018 30/25 Q1007 NOSIG
WABB,2023-09-01 08:00,6.21,M,M,2.00,WABB 010800Z VRB02KT 9999 SCT018 30/25 Q1008 NOSIG
WABB,2023-09-01 08:30,6.21,M,M,2.00,WABB 010830Z VRB02KT 9999 SCT018 30/25 Q1008 NOSIG
WABB,2023-09-01 09:00,6.21,M,M,2.00,WABB 010900Z VRB02KT 9999 SCT018 29/25 Q1008 NOSIG
WABB,2023-09-01 09:30,6.21,M,M,2.00,WABB 010930Z VRB02KT 9999 SCT018 28/25 Q1008 NOSIG
WABB,2023-09-01 10:00,6.21,M,10.00,3.00,WABB 011000Z 01003KT 010V260 9999 SCT018 27/26 Q1009 NOSIG
WABB,2023-09-01 10:30,6.21,M,20.00,3.00,WABB 011030Z 02003KT 020V250 9999 SCT018 27/25 Q1009 NOSIG
WABB,2023-09-01 11:00,6.21,M,M,2.00,WABB 011100Z VRB02KT 9999 SCT018 27/25 Q1010 NOSIG
